t_min	J_o_norm
0	0.291479
0.0166667	0.99718
0.0333333	0.998959
0.05	0.999267
0.0666667	0.999292
0.0833333	0.999269
0.1	0.999276
0.116667	0.999323
0.133333	0.999392
0.15	0.999462
0.166667	0.999524
0.183333	0.999573
0.2	0.99961
0.216667	0.999638
0.233333	0.999659
0.25	0.999676
0.266667	0.999689
0.283333	0.999699
0.3	0.999708
0.316667	0.999715
0.333333	0.999721
0.35	0.999727
0.366667	0.999732
0.383333	0.999736
0.4	0.99974
0.416667	0.999743
0.433333	0.999746
0.45	0.999749
0.466667	0.999752
0.483333	0.999754
0.5	0.999756
0.516667	0.999758
0.533333	0.99976
0.55	0.999761
0.566667	0.999763
0.583333	0.999764
0.6	0.999766
0.616667	0.999767
0.633333	0.999768
0.65	0.999769
0.666667	0.99977
0.683333	0.999771
0.7	0.999772
0.716667	0.999772
0.733333	0.999773
0.75	0.999774
0.766667	0.999774
0.783333	0.999775
0.8	0.999775
0.816667	0.999775
0.833333	0.999776
0.85	0.999776
0.866667	0.999776
0.883333	0.999776
0.9	0.999776
0.916667	0.999776
0.933333	0.999776
0.95	0.999776
0.966667	0.999776
0.983333	0.999776
1	0.999775
1.01667	0.999775
1.03333	0.999774
1.05	0.999774
1.06667	0.999773
1.08333	0.999773
1.1	0.999772
1.11667	0.999771
1.13333	0.999771
1.15	0.99977
1.16667	0.999769
1.18333	0.999768
1.2	0.999766
1.21667	0.999765
1.23333	0.999764
1.25	0.999762
1.26667	0.999761
1.28333	0.999759
1.3	0.999757
1.31667	0.999755
1.33333	0.999753
1.35	0.999751
1.36667	0.999749
1.38333	0.999746
1.4	0.999743
1.41667	0.999741
1.43333	0.999738
1.45	0.999734
1.46667	0.999731
1.48333	0.999727
1.5	0.999724
1.51667	0.99972
1.53333	0.999715
1.55	0.999711
1.56667	0.999706
1.58333	0.999701
1.6	0.999695
1.61667	0.99969
1.63333	0.999683
1.65	0.999677
1.66667	0.99967
1.68333	0.999663
1.7	0.999655
1.71667	0.999646
1.73333	0.999638
1.75	0.999628
1.76667	0.999618
1.78333	0.999607
1.8	0.999596
1.81667	0.999584
1.83333	0.999571
1.85	0.999557
1.86667	0.999543
1.88333	0.999527
1.9	0.99951
1.91667	0.999492
1.93333	0.999473
1.95	0.999453
1.96667	0.999431
1.98333	0.999407
2	0.999382
2.01667	0.999355
2.03333	0.999326
2.05	0.999295
2.06667	0.999261
2.08333	0.999225
2.1	0.999186
2.11667	0.999144
2.13333	0.999098
2.15	0.999049
2.16667	0.998996
2.18333	0.998938
2.2	0.998875
2.21667	0.998807
2.23333	0.998733
2.25	0.998652
2.26667	0.998563
2.28333	0.998467
2.3	0.998361
2.31667	0.998245
2.33333	0.998118
2.35	0.997978
2.36667	0.997823
2.38333	0.997653
2.4	0.997464
2.41667	0.997255
2.43333	0.997022
2.45	0.996763
2.46667	0.996474
2.48333	0.996151
2.5	0.995788
2.51667	0.995381
2.53333	0.994921
2.55	0.994402
2.56667	0.993814
2.58333	0.993146
2.6	0.992386
2.61667	0.991517
2.63333	0.990523
2.65	0.989381
2.66667	0.988069
2.68333	0.986556
2.7	0.984808
2.71667	0.982788
2.73333	0.98045
2.75	0.977744
2.76667	0.974612
2.78333	0.970994
2.8	0.966824
2.81667	0.962032
2.83333	0.956553
2.85	0.950322
2.86667	0.943285
2.88333	0.935397
2.9	0.926632
2.91667	0.916981
2.93333	0.906456
2.95	0.895089
2.96667	0.882928
2.98333	0.87004
3	0.856502
3.01667	0.842401
3.03333	0.827826
3.05	0.81287
3.06667	0.797621
3.08333	0.782165
3.1	0.766581
3.11667	0.750944
3.13333	0.735318
3.15	0.719763
3.16667	0.704328
3.18333	0.689058
3.2	0.673991
3.21667	0.659157
3.23333	0.644583
