t_min	J_o
0.0000000000	0.1575674724
0.0166666667	0.5975656968
0.0333333333	0.5981979780
0.0500000000	0.5982462055
0.0666666667	0.5982491324
0.0833333333	0.5982482908
0.1000000000	0.5982470831
0.1166666667	0.5982457291
0.1333333333	0.5982442165
0.1500000000	0.5982425317
0.1666666667	0.5982406685
0.1833333333	0.5982386244
0.2000000000	0.5982363977
0.2166666667	0.5982339869
0.2333333333	0.5982313059
0.2500000000	0.5982284992
0.2666666667	0.5982254993
0.2833333333	0.5982223027
0.3000000000	0.5982189067
0.3166666667	0.5982153077
0.3333333333	0.5982115020
0.3500000000	0.5982074855
0.3666666667	0.5982032537
0.3833333333	0.5981988019
0.4000000000	0.5981941252
0.4166666667	0.5981892186
0.4333333333	0.5981840767
0.4500000000	0.5981786939
0.4666666667	0.5981730646
0.4833333333	0.5981671827
0.5000000000	0.5981610423
0.5166666667	0.5981546368
0.5333333333	0.5981479599
0.5500000000	0.5981410048
0.5666666667	0.5981337645
0.5833333333	0.5981262319
0.6000000000	0.5981183996
0.6166666667	0.5981102601
0.6333333333	0.5981018056
0.6500000000	0.5980930281
0.6666666667	0.5980839193
0.6833333333	0.5980744708
0.7000000000	0.5980646739
0.7166666667	0.5980545196
0.7333333333	0.5980439987
0.7500000000	0.5980331017
0.7666666667	0.5980218189
0.7833333333	0.5980101404
0.8000000000	0.5979980557
0.8166666667	0.5979855544
0.8333333333	0.5979726257
0.8500000000	0.5979592582
0.8666666667	0.5979454405
0.8833333333	0.5979311609
0.9000000000	0.5979164071
0.9166666667	0.5979011668
0.9333333333	0.5978854269
0.9500000000	0.5978691745
0.9666666667	0.5978523957
0.9833333333	0.5978350768
1.0000000000	0.5978172032
1.0166666667	0.5977987603
1.0333333333	0.5977797328
1.0500000000	0.5977601051
1.0666666667	0.5977398610
1.0833333333	0.5977189840
1.1000000000	0.5976974570
1.1166666667	0.5976752626
1.1333333333	0.5976523825
1.1500000000	0.5976287982
1.1666666667	0.5976044906
1.1833333333	0.5975794400
1.2000000000	0.5975536259
1.2166666667	0.5975270276
1.2333333333	0.5974996234
1.2500000000	0.5974713912
1.2666666667	0.5974423082
1.2833333333	0.5974123507
1.3000000000	0.5973814946
1.3166666667	0.5973497147
1.3333333333	0.5973169854
1.3500000000	0.5972832800
1.3666666667	0.5972485712
1.3833333333	0.5972128308
1.4000000000	0.5971760296
1.4166666667	0.5971381376
1.4333333333	0.5970991239
1.4500000000	0.5970589565
1.4666666667	0.5970176025
