t_min	O2_sim_norm
10	1
10.0002	0.999989
10.0003	0.999978
10.0005	0.999967
10.0007	0.999956
10.0008	0.999944
10.001	0.999933
10.0012	0.999922
10.0013	0.999911
10.0015	0.9999
10.0017	0.999889
10.0018	0.999878
10.002	0.999867
10.0022	0.999856
10.0023	0.999844
10.0025	0.999833
10.0027	0.999822
10.0028	0.999811
10.003	0.9998
10.0032	0.999789
10.0033	0.999778
10.0035	0.999767
10.0037	0.999756
10.0038	0.999744
10.004	0.999733
10.0042	0.999722
10.0043	0.999711
10.0045	0.9997
10.0047	0.999689
10.0048	0.999678
10.005	0.999667
10.0052	0.999656
10.0053	0.999644
10.0055	0.999633
10.0057	0.999622
10.0058	0.999611
10.006	0.9996
10.0062	0.999589
10.0063	0.999578
10.0065	0.999567
10.0067	0.999556
10.0068	0.999544
10.007	0.999533
10.0072	0.999522
10.0073	0.999511
10.0075	0.9995
10.0077	0.999489
10.0078	0.999478
10.008	0.999467
10.0082	0.999456
10.0083	0.999444
10.0085	0.999433
10.0087	0.999422
10.0088	0.999411
10.009	0.9994
10.0092	0.999389
10.0093	0.999378
10.0095	0.999367
10.0097	0.999356
10.0098	0.999344
10.01	0.999333
10.0102	0.999322
10.0103	0.999311
10.0105	0.9993
10.0107	0.999289
10.0108	0.999278
10.011	0.999267
10.0112	0.999256
10.0113	0.999244
10.0115	0.999233
10.0117	0.999222
10.0118	0.999211
10.012	0.9992
10.0122	0.999189
10.0123	0.999178
10.0125	0.999167
10.0127	0.999156
10.0128	0.999144
10.013	0.999133
10.0132	0.999122
10.0133	0.999111
10.0135	0.9991
10.0137	0.999089
10.0138	0.999078
10.014	0.999067
10.0142	0.999056
10.0143	0.999044
10.0145	0.999033
10.0147	0.999022
10.0148	0.999011
10.015	0.999
10.0152	0.998989
10.0153	0.998978
10.0155	0.998967
10.0157	0.998956
10.0158	0.998944
10.016	0.998933
10.0162	0.998922
10.0163	0.998911
10.0165	0.9989
10.0167	0.998889
10.0168	0.998878
10.017	0.998867
10.0172	0.998856
10.0173	0.998844
10.0175	0.998833
10.0177	0.998822
10.0178	0.998811
10.018	0.9988
10.0182	0.998789
10.0183	0.998778
10.0185	0.998767
10.0187	0.998756
10.0188	0.998744
10.019	0.998733
10.0192	0.998722
10.0193	0.998711
10.0195	0.9987
10.0197	0.998689
10.0198	0.998678
10.02	0.998667
10.0202	0.998656
