t_min	O2_sim_norm
10	1
10.0002	0.999987
10.0003	0.99998
10.0005	0.999967
10.0007	0.999953
10.0008	0.999947
10.001	0.999933
10.0012	0.99992
10.0013	0.999913
10.0015	0.9999
10.0017	0.999887
10.0018	0.99988
10.002	0.999867
10.0022	0.999853
10.0023	0.999847
10.0025	0.999833
10.0027	0.99982
10.0028	0.999813
10.003	0.9998
10.0032	0.999787
10.0033	0.99978
10.0035	0.999767
10.0037	0.999753
10.0038	0.999747
10.004	0.999733
10.0042	0.99972
10.0043	0.999713
10.0045	0.9997
10.0047	0.999687
10.0048	0.99968
10.005	0.999667
10.0052	0.999653
10.0053	0.999647
10.0055	0.999633
10.0057	0.99962
10.0058	0.999613
10.006	0.9996
10.0062	0.999587
10.0063	0.99958
10.0065	0.999567
10.0067	0.999553
10.0068	0.999547
10.007	0.999533
10.0072	0.99952
10.0073	0.999513
10.0075	0.9995
10.0077	0.999487
10.0078	0.99948
10.008	0.999467
10.0082	0.999453
10.0083	0.999447
10.0085	0.999433
10.0087	0.99942
10.0088	0.999413
10.009	0.9994
10.0092	0.999387
10.0093	0.99938
10.0095	0.999367
10.0097	0.999353
10.0098	0.999347
10.01	0.999333
10.0102	0.99932
10.0103	0.999313
10.0105	0.9993
10.0107	0.999287
10.0108	0.99928
10.011	0.999267
10.0112	0.999253
10.0113	0.999247
10.0115	0.999233
10.0117	0.99922
10.0118	0.999213
10.012	0.9992
10.0122	0.999187
10.0123	0.99918
10.0125	0.999167
10.0127	0.999153
10.0128	0.999147
10.013	0.999133
10.0132	0.99912
10.0133	0.999113
10.0135	0.9991
10.0137	0.999087
10.0138	0.99908
10.014	0.999067
10.0142	0.999053
10.0143	0.999047
10.0145	0.999033
10.0147	0.99902
10.0148	0.999013
10.015	0.999
10.0152	0.998987
10.0153	0.99898
10.0155	0.998967
10.0157	0.998953
10.0158	0.998947
10.016	0.998933
10.0162	0.99892
10.0163	0.998913
10.0165	0.9989
10.0167	0.998887
10.0168	0.99888
10.017	0.998867
10.0172	0.998853
10.0173	0.998847
10.0175	0.998833
10.0177	0.99882
10.0178	0.998813
10.018	0.9988
10.0182	0.998787
10.0183	0.99878
10.0185	0.998767
10.0187	0.998753
10.0188	0.998747
10.019	0.998733
10.0192	0.99872
10.0193	0.998713
10.0195	0.9987
10.0197	0.998687
10.0198	0.99868
10.02	0.998667
10.0202	0.998653
10.0203	0.998647
10.0205	0.998633
10.0207	0.99862
10.0208	0.998613
10.021	0.9986
10.0212	0.998587
10.0213	0.99858
10.0215	0.998567
10.0217	0.998553
10.0218	0.998547
10.022	0.998533
10.0222	0.99852
10.0223	0.998513
10.0225	0.9985
10.0227	0.998487
10.0228	0.99848
10.023	0.998467
10.0232	0.998453
10.0233	0.998447
10.0235	0.998433
10.0237	0.99842
10.0238	0.998413
10.024	0.9984
10.0242	0.998387
10.0243	0.99838
10.0245	0.998367
10.0247	0.998353
10.0248	0.998347
10.025	0.998333
10.0252	0.99832
10.0253	0.998313
10.0255	0.9983
10.0257	0.998287
10.0258	0.99828
10.026	0.998267
10.0262	0.998253
10.0263	0.998247
10.0265	0.998233
10.0267	0.99822
10.0268	0.998213
10.027	0.9982
10.0272	0.998187
10.0273	0.99818
10.0275	0.998167
10.0277	0.998153
10.0278	0.998147
10.028	0.998133
10.0282	0.99812
10.0283	0.998113
10.0285	0.9981
10.0287	0.998087
10.0288	0.99808
10.029	0.998067
10.0292	0.998053
10.0293	0.998047
10.0295	0.998033
10.0297	0.99802
10.0298	0.998013
10.03	0.998
10.0302	0.997987
10.0303	0.99798
10.0305	0.997967
10.0307	0.997953
10.0308	0.997947
10.031	0.997933
10.0312	0.99792
10.0313	0.997913
10.0315	0.9979
10.0317	0.997887
10.0318	0.99788
10.032	0.997867
10.0322	0.997853
10.0323	0.997847
10.0325	0.997833
10.0327	0.99782
10.0328	0.997813
10.033	0.9978
10.0332	0.997787
10.0333	0.99778
10.0335	0.997767
10.0337	0.997753
10.0338	0.997747
10.034	0.997733
10.0342	0.99772
10.0343	0.997713
10.0345	0.9977
10.0347	0.997687
10.0348	0.99768
10.035	0.997667
10.0352	0.997653
10.0353	0.997647
10.0355	0.997633
10.0357	0.99762
10.0358	0.997613
10.036	0.9976
10.0362	0.997587
10.0363	0.99758
10.0365	0.997567
10.0367	0.997553
10.0368	0.997547
10.037	0.997533
10.0372	0.99752
10.0373	0.997513
10.0375	0.9975
10.0377	0.997487
10.0378	0.99748
10.038	0.997467
10.0382	0.997453
10.0383	0.997447
10.0385	0.997433
10.0387	0.99742
10.0388	0.997413
10.039	0.9974
10.0392	0.997387
10.0393	0.99738
10.0395	0.997367
10.0397	0.997353
10.0398	0.997347
10.04	0.997333
10.0402	0.99732
10.0403	0.997313
10.0405	0.9973
10.0407	0.997287
10.0408	0.99728
10.041	0.997267
10.0412	0.997253
10.0413	0.997247
10.0415	0.997233
10.0417	0.99722
10.0418	0.997213
10.042	0.9972
10.0422	0.997187
10.0423	0.99718
10.0425	0.997167
10.0427	0.997153
10.0428	0.997147
10.043	0.997133
10.0432	0.99712
10.0433	0.997113
10.0435	0.9971
10.0437	0.997087
10.0438	0.99708
10.044	0.997067
10.0442	0.997053
10.0443	0.997047
10.0445	0.997033
10.0447	0.99702
10.0448	0.997013
10.045	0.997
10.0452	0.996987
10.0453	0.99698
10.0455	0.996967
10.0457	0.996953
10.0458	0.996947
10.046	0.996933
10.0462	0.99692
10.0463	0.996913
10.0465	0.9969
10.0467	0.996887
10.0468	0.99688
10.047	0.996867
10.0472	0.996853
10.0473	0.996847
10.0475	0.996833
