t_min	O2_sim_norm
10	1
10	1
10	1
10	1
10.0001	0.999993
10.0001	0.999993
10.0001	0.999993
10.0001	0.999993
10.0001	0.999993
10.0001	0.999993
10.0002	0.999987
10.0002	0.999987
10.0002	0.999987
10.0002	0.999987
10.0002	0.999987
10.0002	0.999987
10.0003	0.99998
10.0003	0.99998
10.0003	0.99998
10.0003	0.99998
10.0003	0.99998
10.0003	0.99998
10.0004	0.999973
10.0004	0.999973
10.0004	0.999973
10.0004	0.999973
10.0004	0.999973
10.0005	0.999967
10.0005	0.999967
10.0005	0.999967
10.0005	0.999967
10.0005	0.999967
10.0005	0.999967
10.0006	0.99996
10.0006	0.99996
10.0006	0.99996
10.0006	0.99996
10.0006	0.99996
10.0006	0.99996
10.0007	0.999953
10.0007	0.999953
10.0007	0.999953
10.0007	0.999953
10.0007	0.999953
10.0007	0.999953
10.0008	0.999947
10.0008	0.999947
10.0008	0.999947
10.0008	0.999947
10.0008	0.999947
10.0008	0.999947
10.0008	0.999947
10.0009	0.99994
10.0009	0.99994
10.0009	0.99994
10.0009	0.99994
10.0009	0.99994
10.0009	0.99994
10.001	0.999933
10.001	0.999933
10.001	0.999933
10.001	0.999933
10.001	0.999933
10.001	0.999933
10.0011	0.999927
10.0011	0.999927
10.0011	0.999927
10.0011	0.999927
10.0011	0.999927
10.0012	0.99992
10.0012	0.99992
10.0012	0.99992
10.0012	0.99992
10.0012	0.99992
10.0012	0.99992
10.0013	0.999913
10.0013	0.999913
10.0013	0.999913
10.0013	0.999913
10.0013	0.999913
10.0013	0.999913
10.0014	0.999907
10.0014	0.999907
10.0014	0.999907
10.0014	0.999907
10.0014	0.999907
10.0014	0.999907
10.0015	0.9999
10.0015	0.9999
10.0015	0.9999
10.0015	0.9999
10.0015	0.9999
10.0015	0.9999
10.0015	0.9999
10.0016	0.999893
10.0016	0.999893
10.0016	0.999893
10.0016	0.999893
10.0016	0.999893
10.0016	0.999893
10.0017	0.999887
10.0017	0.999887
10.0017	0.999887
10.0017	0.999887
10.0017	0.999887
10.0017	0.999887
10.0018	0.99988
10.0018	0.99988
10.0018	0.99988
10.0018	0.99988
10.0018	0.99988
10.0018	0.99988
10.0019	0.999873
10.0019	0.999873
10.0019	0.999873
10.0019	0.999873
10.0019	0.999873
10.002	0.999867
10.002	0.999867
10.002	0.999867
10.002	0.999867
10.002	0.999867
10.002	0.999867
10.0021	0.99986
10.0021	0.99986
10.0021	0.99986
10.0021	0.99986
10.0021	0.99986
10.0021	0.99986
10.0022	0.999853
10.0022	0.999853
10.0022	0.999853
10.0022	0.999853
10.0022	0.999853
10.0022	0.999853
10.0023	0.999847
10.0023	0.999847
10.0023	0.999847
10.0023	0.999847
10.0023	0.999847
10.0023	0.999847
10.0023	0.999847
10.0024	0.99984
10.0024	0.99984
10.0024	0.99984
10.0024	0.99984
10.0024	0.99984
10.0024	0.99984
10.0025	0.999833
10.0025	0.999833
10.0025	0.999833
10.0025	0.999833
10.0025	0.999833
10.0025	0.999833
10.0026	0.999827
10.0026	0.999827
10.0026	0.999827
10.0026	0.999827
10.0026	0.999827
10.0026	0.999827
10.0027	0.99982
10.0027	0.99982
10.0027	0.99982
10.0027	0.99982
10.0027	0.99982
10.0028	0.999813
10.0028	0.999813
10.0028	0.999813
10.0028	0.999813
10.0028	0.999813
10.0028	0.999813
10.0029	0.999807
10.0029	0.999807
10.0029	0.999807
10.0029	0.999807
10.0029	0.999807
10.0029	0.999807
10.003	0.9998
10.003	0.9998
10.003	0.9998
10.003	0.9998
10.003	0.9998
10.003	0.9998
10.003	0.9998
10.0031	0.999793
10.0031	0.999793
10.0031	0.999793
10.0031	0.999793
10.0031	0.999793
10.0031	0.999793
10.0032	0.999787
10.0032	0.999787
10.0032	0.999787
10.0032	0.999787
10.0032	0.999787
10.0032	0.999787
10.0033	0.99978
10.0033	0.99978
10.0033	0.99978
10.0033	0.99978
10.0033	0.99978
10.0033	0.99978
10.0034	0.999773
10.0034	0.999773
10.0034	0.999773
10.0034	0.999773
10.0034	0.999773
10.0035	0.999767
10.0035	0.999767
10.0035	0.999767
10.0035	0.999767
10.0035	0.999767
10.0035	0.999767
10.0036	0.99976
10.0036	0.99976
10.0036	0.99976
10.0036	0.99976
10.0036	0.99976
10.0036	0.99976
10.0037	0.999753
10.0037	0.999753
10.0037	0.999753
10.0037	0.999753
10.0037	0.999753
10.0037	0.999753
10.0038	0.999747
10.0038	0.999747
10.0038	0.999747
10.0038	0.999747
10.0038	0.999747
10.0038	0.999747
10.0038	0.999747
10.0039	0.99974
10.0039	0.99974
10.0039	0.99974
10.0039	0.99974
10.0039	0.99974
10.0039	0.99974
10.004	0.999733
10.004	0.999733
10.004	0.999733
10.004	0.999733
10.004	0.999733
10.004	0.999733
10.0041	0.999727
10.0041	0.999727
10.0041	0.999727
10.0041	0.999727
10.0041	0.999727
10.0041	0.999727
10.0042	0.99972
10.0042	0.99972
10.0042	0.99972
10.0042	0.99972
10.0042	0.99972
10.0043	0.999713
10.0043	0.999713
10.0043	0.999713
10.0043	0.999713
10.0043	0.999713
10.0043	0.999713
10.0044	0.999707
10.0044	0.999707
10.0044	0.999707
10.0044	0.999707
10.0044	0.999707
10.0044	0.999707
10.0045	0.9997
10.0045	0.9997
10.0045	0.9997
10.0045	0.9997
10.0045	0.9997
10.0045	0.9997
10.0046	0.999693
10.0046	0.999693
10.0046	0.999693
10.0046	0.999693
10.0046	0.999693
10.0046	0.999693
10.0046	0.999693
10.0047	0.999687
10.0047	0.999687
10.0047	0.999687
10.0047	0.999687
10.0047	0.999687
10.0047	0.999687
10.0048	0.99968
10.0048	0.99968
10.0048	0.99968
10.0048	0.99968
10.0048	0.99968
10.0048	0.99968
10.0049	0.999673
10.0049	0.999673
10.0049	0.999673
10.0049	0.999673
10.0049	0.999673
10.0049	0.999673
10.005	0.999667
10.005	0.999667
10.005	0.999667
10.005	0.999667
10.005	0.999667
10.0051	0.99966
10.0051	0.99966
10.0051	0.99966
10.0051	0.99966
10.0051	0.99966
10.0051	0.99966
10.0052	0.999653
10.0052	0.999653
10.0052	0.999653
10.0052	0.999653
10.0052	0.999653
10.0052	0.999653
10.0053	0.999647
10.0053	0.999647
10.0053	0.999647
10.0053	0.999647
10.0053	0.999647
10.0053	0.999647
10.0053	0.999647
10.0054	0.99964
10.0054	0.99964
10.0054	0.99964
10.0054	0.99964
10.0054	0.99964
10.0054	0.99964
10.0055	0.999633
10.0055	0.999633
10.0055	0.999633
10.0055	0.999633
10.0055	0.999633
10.0055	0.999633
10.0056	0.999627
10.0056	0.999627
10.0056	0.999627
10.0056	0.999627
10.0056	0.999627
10.0056	0.999627
10.0057	0.99962
10.0057	0.99962
10.0057	0.99962
10.0057	0.99962
10.0057	0.99962
10.0058	0.999613
10.0058	0.999613
10.0058	0.999613
10.0058	0.999613
10.0058	0.999613
10.0058	0.999613
10.0059	0.999607
10.0059	0.999607
10.0059	0.999607
10.0059	0.999607
10.0059	0.999607
10.0059	0.999607
10.006	0.9996
10.006	0.9996
10.006	0.9996
10.006	0.9996
10.006	0.9996
10.006	0.9996
10.0061	0.999593
10.0061	0.999593
10.0061	0.999593
10.0061	0.999593
10.0061	0.999593
10.0061	0.999593
10.0061	0.999593
10.0062	0.999587
10.0062	0.999587
10.0062	0.999587
10.0062	0.999587
10.0062	0.999587
10.0062	0.999587
10.0063	0.99958
10.0063	0.99958
10.0063	0.99958
10.0063	0.99958
10.0063	0.99958
10.0063	0.99958
10.0064	0.999573
10.0064	0.999573
10.0064	0.999573
10.0064	0.999573
10.0064	0.999573
10.0064	0.999573
10.0065	0.999567
10.0065	0.999567
10.0065	0.999567
10.0065	0.999567
10.0065	0.999567
10.0066	0.99956
10.0066	0.99956
10.0066	0.99956
10.0066	0.99956
10.0066	0.99956
10.0066	0.99956
10.0067	0.999553
10.0067	0.999553
10.0067	0.999553
10.0067	0.999553
10.0067	0.999553
10.0067	0.999553
10.0068	0.999547
10.0068	0.999547
10.0068	0.999547
10.0068	0.999547
10.0068	0.999547
10.0068	0.999547
10.0069	0.99954
10.0069	0.99954
10.0069	0.99954
10.0069	0.99954
10.0069	0.99954
10.0069	0.99954
10.0069	0.99954
10.007	0.999533
10.007	0.999533
10.007	0.999533
10.007	0.999533
10.007	0.999533
10.007	0.999533
10.0071	0.999527
10.0071	0.999527
10.0071	0.999527
10.0071	0.999527
10.0071	0.999527
10.0071	0.999527
10.0072	0.99952
10.0072	0.99952
10.0072	0.99952
10.0072	0.99952
10.0072	0.99952
10.0073	0.999513
10.0073	0.999513
10.0073	0.999513
10.0073	0.999513
10.0073	0.999513
10.0073	0.999513
10.0074	0.999507
10.0074	0.999507
10.0074	0.999507
10.0074	0.999507
10.0074	0.999507
10.0074	0.999507
10.0075	0.9995
10.0075	0.9995
10.0075	0.9995
10.0075	0.9995
10.0075	0.9995
10.0075	0.9995
10.0076	0.999493
10.0076	0.999493
10.0076	0.999493
10.0076	0.999493
10.0076	0.999493
10.0076	0.999493
10.0076	0.999493
10.0077	0.999487
10.0077	0.999487
10.0077	0.999487
10.0077	0.999487
10.0077	0.999487
10.0077	0.999487
10.0078	0.99948
10.0078	0.99948
10.0078	0.99948
10.0078	0.99948
10.0078	0.99948
10.0078	0.99948
10.0079	0.999473
10.0079	0.999473
10.0079	0.999473
10.0079	0.999473
10.0079	0.999473
10.0079	0.999473
10.008	0.999467
10.008	0.999467
10.008	0.999467
10.008	0.999467
10.008	0.999467
10.0081	0.99946
10.0081	0.99946
10.0081	0.99946
10.0081	0.99946
10.0081	0.99946
10.0081	0.99946
10.0082	0.999453
10.0082	0.999453
10.0082	0.999453
10.0082	0.999453
10.0082	0.999453
10.0082	0.999453
10.0083	0.999447
10.0083	0.999447
10.0083	0.999447
10.0083	0.999447
10.0083	0.999447
10.0083	0.999447
10.0084	0.99944
10.0084	0.99944
10.0084	0.99944
10.0084	0.99944
10.0084	0.99944
10.0084	0.99944
10.0084	0.99944
10.0085	0.999433
10.0085	0.999433
10.0085	0.999433
10.0085	0.999433
10.0085	0.999433
10.0085	0.999433
10.0086	0.999427
10.0086	0.999427
10.0086	0.999427
10.0086	0.999427
10.0086	0.999427
10.0086	0.999427
10.0087	0.99942
10.0087	0.99942
10.0087	0.99942
10.0087	0.99942
10.0087	0.99942
10.0087	0.99942
10.0088	0.999413
10.0088	0.999413
10.0088	0.999413
10.0088	0.999413
10.0088	0.999413
10.0089	0.999407
10.0089	0.999407
10.0089	0.999407
10.0089	0.999407
10.0089	0.999407
10.0089	0.999407
10.009	0.9994
10.009	0.9994
10.009	0.9994
10.009	0.9994
10.009	0.9994
10.009	0.9994
10.0091	0.999393
10.0091	0.999393
10.0091	0.999393
10.0091	0.999393
10.0091	0.999393
10.0091	0.999393
10.0091	0.999393
10.0092	0.999387
10.0092	0.999387
10.0092	0.999387
10.0092	0.999387
10.0092	0.999387
10.0092	0.999387
10.0093	0.99938
10.0093	0.99938
10.0093	0.99938
10.0093	0.99938
10.0093	0.99938
10.0093	0.99938
10.0094	0.999373
10.0094	0.999373
10.0094	0.999373
10.0094	0.999373
10.0094	0.999373
10.0094	0.999373
10.0095	0.999367
10.0095	0.999367
10.0095	0.999367
10.0095	0.999367
10.0095	0.999367
10.0096	0.99936
10.0096	0.99936
10.0096	0.99936
10.0096	0.99936
