t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0	1	1	1	1	0.0001	5
0.001	0.999999	1	0.997702	0.999898	0.0001	5
0.002	0.999999	1	0.995404	0.999797	0.0001	5
0.003	0.999998	1	0.993108	0.999695	0.0001	5
0.004	0.999998	1	0.990812	0.999594	0.0001	5
0.005	0.999997	1	0.988516	0.999492	0.0001	5
0.006	0.999997	1	0.986222	0.999391	0.0001	5
0.007	0.999996	1	0.983929	0.999289	0.0001	5
0.008	0.999996	1	0.981636	0.999188	0.0001	5
0.009	0.999995	1	0.979344	0.999086	0.0001	5
0.01	0.999995	1	0.977052	0.998985	0.0001	5
0.011	0.999994	1	0.974762	0.998883	0.0001	5
0.012	0.999994	1	0.972472	0.998782	0.0001	5
0.013	0.999993	1	0.970184	0.99868	0.0001	5
0.014	0.999993	1	0.967895	0.998579	0.0001	5
0.015	0.999992	1	0.965608	0.998477	0.0001	5
0.016	0.999991	1	0.963322	0.998376	0.0001	5
0.017	0.999991	1.00001	0.961036	0.998275	0.0001	5
0.018	0.99999	1.00001	0.958751	0.998173	0.0001	5
0.019	0.99999	1.00001	0.956467	0.998072	0.0001	5
0.02	0.999989	1.00001	0.954183	0.997971	0.0001	5
0.021	0.999989	1.00001	0.951901	0.997869	0.0001	5
0.022	0.999988	1.00001	0.949619	0.997768	0.0001	5
0.023	0.999988	1.00001	0.947338	0.997667	0.0001	5
0.024	0.999987	1.00001	0.945058	0.997565	0.0001	5
0.025	0.999987	1.00001	0.942778	0.997464	0.0001	5
0.026	0.999986	1.00001	0.940499	0.997363	0.0001	5
0.027	0.999986	1.00001	0.938222	0.997262	0.0001	5
0.028	0.999985	1.00001	0.935944	0.99716	0.0001	5
0.029	0.999984	1.00001	0.933668	0.997059	0.0001	5
0.03	0.999984	1.00001	0.931392	0.996958	0.0001	5
0.031	0.999983	1.00001	0.929118	0.996857	0.0001	5
0.032	0.999983	1.00001	0.926844	0.996756	0.0001	5
0.033	0.999982	1.00001	0.92457	0.996654	0.0001	5
0.034	0.999982	1.00001	0.922298	0.996553	0.0001	5
0.035	0.999981	1.00001	0.920026	0.996452	0.0001	5
0.036	0.999981	1.00001	0.917755	0.996351	0.0001	5
0.037	0.99998	1.00001	0.915485	0.99625	0.0001	5
0.038	0.99998	1.00001	0.913216	0.996149	0.0001	5
0.039	0.999979	1.00001	0.910947	0.996048	0.0001	5
0.04	0.999979	1.00001	0.908679	0.995947	0.0001	5
0.041	0.999978	1.00001	0.906412	0.995846	0.0001	5
0.042	0.999978	1.00001	0.904146	0.995745	0.0001	5
0.043	0.999977	1.00001	0.901881	0.995644	0.0001	5
0.044	0.999976	1.00001	0.899616	0.995543	0.0001	5
0.045	0.999976	1.00001	0.897352	0.995442	0.0001	5
