t	FBP	Ca_c	NADH_m	Ca_m	deltaPsi	ATP_m	J_o
0	1	0.1	35.7	0.036	152.2	1649	0.156749
1.66667e-05	1	0.1	35.6992	0.0360011	152.205	1649.01	0.156745
3.33333e-05	1	0.1	35.6984	0.0360022	152.209	1649.02	0.156742
5e-05	1	0.1	35.6977	0.0360033	152.213	1649.02	0.156738
6.66667e-05	1	0.1	35.6969	0.0360044	152.217	1649.03	0.156735
8.33333e-05	1	0.1	35.6961	0.0360055	152.22	1649.04	0.156732
0.0001	1	0.1	35.6954	0.0360066	152.224	1649.05	0.156729
0.000116667	1	0.1	35.6946	0.0360077	152.226	1649.06	0.156726
0.000133333	1	0.1	35.6939	0.0360088	152.229	1649.07	0.156723
0.00015	1	0.1	35.6931	0.0360099	152.231	1649.08	0.15672
0.000166667	1	0.1	35.6924	0.036011	152.234	1649.08	0.156717
0.000183333	1	0.1	35.6916	0.036012	152.236	1649.09	0.156714
0.0002	1	0.1	35.6909	0.0360131	152.237	1649.1	0.156711
0.000216667	1	0.1	35.6901	0.0360142	152.239	1649.11	0.156708
0.000233333	1	0.1	35.6894	0.0360153	152.241	1649.12	0.156706
0.00025	1	0.1	35.6887	0.0360164	152.242	1649.13	0.156703
0.000266667	1	0.1	35.688	0.0360175	152.243	1649.14	0.156701
0.000283333	1	0.1	35.6872	0.0360186	152.244	1649.15	0.156698
0.0003	1	0.1	35.6865	0.0360197	152.245	1649.16	0.156695
0.000316667	1	0.1	35.6858	0.0360208	152.246	1649.17	0.156693
0.000333333	1	0.1	35.6851	0.0360219	152.247	1649.18	0.15669
0.00035	1	0.1	35.6844	0.0360229	152.248	1649.19	0.156688
0.000366667	1	0.1	35.6837	0.036024	152.249	1649.19	0.156686
0.000383333	1	0.1	35.683	0.0360251	152.249	1649.2	0.156683
0.0004	1	0.1	35.6823	0.0360262	152.25	1649.21	0.156681
0.000416667	1	0.1	35.6816	0.0360273	152.25	1649.22	0.156678
0.000433333	1	0.1	35.6809	0.0360284	152.251	1649.23	0.156676
0.00045	1	0.1	35.6802	0.0360294	152.251	1649.24	0.156674
0.000466667	1	0.1	35.6796	0.0360305	152.251	1649.25	0.156672
0.000483333	1	0.1	35.6789	0.0360316	152.252	1649.26	0.156669
0.0005	1	0.1	35.6782	0.0360327	152.252	1649.27	0.156667
0.000516667	1	0.1	35.6775	0.0360337	152.252	1649.28	0.156665
0.000533333	1	0.1	35.6769	0.0360348	152.252	1649.29	0.156663
0.00055	1	0.1	35.6762	0.0360359	152.253	1649.3	0.15666
0.000566667	1	0.1	35.6756	0.036037	152.253	1649.31	0.156658
0.000583333	1	0.1	35.6749	0.036038	152.253	1649.32	0.156656
0.0006	1	0.1	35.6742	0.0360391	152.253	1649.33	0.156654
0.000616667	1	0.1	35.6736	0.0360402	152.253	1649.34	0.156652
0.000633333	1	0.1	35.6729	0.0360412	152.253	1649.35	0.15665
0.00065	1	0.1	35.6723	0.0360423	152.253	1649.36	0.156648
0.000666667	1	0.1	35.6716	0.0360434	152.253	1649.37	0.156646
0.000683333	1	0.1	35.671	0.0360444	152.253	1649.38	0.156643
0.0007	1	0.1	35.6704	0.0360455	152.253	1649.38	0.156641
0.000716667	1	0.1	35.6697	0.0360465	152.253	1649.39	0.156639
0.000733333	1	0.1	35.6691	0.0360476	152.253	1649.4	0.156637
0.00075	1	0.1	35.6685	0.0360487	152.253	1649.41	0.156635
0.000766667	1	0.1	35.6679	0.0360497	152.253	1649.42	0.156633
0.000783333	1	0.1	35.6672	0.0360508	152.253	1649.43	0.156631
0.0008	1	0.1	35.6666	0.0360518	152.253	1649.44	0.156629
0.000816667	1	0.1	35.666	0.0360529	152.253	1649.45	0.156627
0.000833333	1	0.1	35.6654	0.0360539	152.253	1649.46	0.156625
0.00085	1	0.1	35.6648	0.036055	152.252	1649.47	0.156623
0.000866667	1	0.1	35.6642	0.036056	152.252	1649.48	0.156621
0.000883333	1	0.1	35.6636	0.0360571	152.252	1649.49	0.15662
0.0009	1	0.1	35.663	0.0360581	152.252	1649.5	0.156618
0.000916667	1	0.1	35.6624	0.0360592	152.252	1649.51	0.156616
0.000933333	1	0.1	35.6618	0.0360602	152.252	1649.52	0.156614
0.00095	1	0.1	35.6612	0.0360613	152.252	1649.53	0.156612
0.000966667	1	0.1	35.6606	0.0360623	152.252	1649.54	0.15661
0.000983333	1	0.1	35.66	0.0360633	152.252	1649.55	0.156608
0.001	1	0.1	35.6594	0.0360644	152.251	1649.55	0.156606
0.00101667	1	0.1	35.6588	0.0360654	152.251	1649.56	0.156604
0.00103333	1	0.1	35.6583	0.0360665	152.251	1649.57	0.156603
0.00105	1	0.1	35.6577	0.0360675	152.251	1649.58	0.156601
0.00106667	1	0.1	35.6571	0.0360685	152.251	1649.59	0.156599
0.00108333	1	0.1	35.6565	0.0360696	152.251	1649.6	0.156597
0.0011	1	0.1	35.656	0.0360706	152.251	1649.61	0.156595
0.00111667	1	0.1	35.6554	0.0360716	152.251	1649.62	0.156594
0.00113333	1	0.1	35.6549	0.0360727	152.25	1649.63	0.156592
0.00115	1	0.1	35.6543	0.0360737	152.25	1649.64	0.15659
0.00116667	1	0.1	35.6537	0.0360747	152.25	1649.65	0.156588
0.00118333	1	0.1	35.6532	0.0360757	152.25	1649.66	0.156586
0.0012	1	0.1	35.6526	0.0360768	152.25	1649.67	0.156585
0.00121667	1	0.1	35.6521	0.0360778	152.25	1649.68	0.156583
0.00123333	1	0.1	35.6515	0.0360788	152.25	1649.69	0.156581
0.00125	1	0.1	35.651	0.0360798	152.249	1649.7	0.15658
0.00126667	1	0.1	35.6505	0.0360808	152.249	1649.7	0.156578
0.00128333	1	0.1	35.6499	0.0360819	152.249	1649.71	0.156576
0.0013	1	0.1	35.6494	0.0360829	152.249	1649.72	0.156574
0.00131667	1	0.1	35.6489	0.0360839	152.249	1649.73	0.156573
0.00133333	1	0.1	35.6483	0.0360849	152.249	1649.74	0.156571
0.00135	1	0.1	35.6478	0.0360859	152.249	1649.75	0.156569
0.00136667	1	0.1	35.6473	0.0360869	152.248	1649.76	0.156568
0.00138333	1	0.1	35.6468	0.036088	152.248	1649.77	0.156566
0.0014	1	0.1	35.6462	0.036089	152.248	1649.78	0.156564
0.00141667	1	0.1	35.6457	0.03609	152.248	1649.79	0.156563
0.00143333	1	0.1	35.6452	0.036091	152.248	1649.8	0.156561
0.00145	1	0.1	35.6447	0.036092	152.248	1649.81	0.156559
0.00146667	1	0.1	35.6442	0.036093	152.248	1649.82	0.156558
0.00148333	1	0.1	35.6437	0.036094	152.247	1649.82	0.156556
0.0015	1	0.1	35.6432	0.036095	152.247	1649.83	0.156555
0.00151667	1	0.1	35.6427	0.036096	152.247	1649.84	0.156553
0.00153333	1	0.1	35.6422	0.036097	152.247	1649.85	0.156551
0.00155	1	0.1	35.6417	0.036098	152.247	1649.86	0.15655
0.00156667	1	0.1	35.6412	0.036099	152.247	1649.87	0.156548
0.00158333	1	0.1	35.6407	0.0361	152.247	1649.88	0.156547
0.0016	1	0.1	35.6402	0.036101	152.246	1649.89	0.156545
0.00161667	1	0.1	35.6397	0.036102	152.246	1649.9	0.156544
0.00163333	1	0.1	35.6393	0.036103	152.246	1649.91	0.156542
0.00165	1	0.1	35.6388	0.036104	152.246	1649.92	0.156541
0.00166667	1	0.1	35.6383	0.036105	152.246	1649.93	0.156539
0.00168333	1	0.1	35.6378	0.036106	152.246	1649.93	0.156538
0.0017	1	0.1	35.6373	0.0361069	152.246	1649.94	0.156536
0.00171667	1	0.1	35.6369	0.0361079	152.245	1649.95	0.156535
0.00173333	1	0.1	35.6364	0.0361089	152.245	1649.96	0.156533
0.00175	1	0.1	35.6359	0.0361099	152.245	1649.97	0.156532
0.00176667	1	0.1	35.6355	0.0361109	152.245	1649.98	0.15653
0.00178333	1	0.1	35.635	0.0361119	152.245	1649.99	0.156529
0.0018	1	0.1	35.6346	0.0361128	152.245	1650	0.156527
0.00181667	1	0.1	35.6341	0.0361138	152.245	1650.01	0.156526
0.00183333	1	0.1	35.6337	0.0361148	152.245	1650.02	0.156524
