generation,best_fitness
0,9.313665507157129
1,9.313665507157129
2,8.442092191629158
3,7.516035157008642
4,7.210803356174443
5,7.210803356174443
6,6.846066870386386
7,6.589805186335659
8,5.074780286922004
9,4.96385646080023
10,4.719366890075395
11,4.606386452709086
12,4.166410490977676
13,4.126613202515362
14,3.9052475099429484
15,3.7923867519505308
16,3.7923867519505308
17,3.763540779257286
18,3.5843194364927284
19,3.5843194364927284
20,3.5843194364927284
21,3.5413113639907183
22,3.5413113639907183
23,3.420520559507444
24,3.39854551345556
