generation,best_fitness,seed_generation
0,7.745537415095371,3974790076
1,7.745537415095371,3974790077
2,6.68482782618405,3974790078
3,5.9440186454711466,3974790079
4,5.619445736794314,3974790080
5,4.958782659866895,3974790081
6,4.958782659866895,3974790082
7,4.598832499088514,3974790083
8,4.598832499088514,3974790084
9,4.598832499088514,3974790085
10,4.598832499088514,3974790086
11,4.598832499088514,3974790087
12,4.598832499088514,3974790088
13,4.598832499088514,3974790089
14,4.598832499088514,3974790090
15,4.598832499088514,3974790091
16,4.598832499088514,3974790092
17,4.564203884724855,3974790093
18,4.399368067942826,3974790094
19,4.399368067942826,3974790095
20,4.399368067942826,3974790096
21,4.399368067942826,3974790097
22,4.044028559344984,3974790098
23,4.044028559344984,3974790099
24,4.044028559344984,3974790100
